% Mast Angle, Arm Angle, Background RSSI, Transmission RSSI
-180.0,0.0,2.79078021118,198.751989919
-178.0,0.0,2.4826402607,163.915052437
-176.0,0.0,5.25746729326,177.185488804
-174.0,0.0,1.62922257596,142.720629814
-172.0,0.0,3.52605143738,133.989830163
-170.0,0.0,3.69446994841,161.695299252
-168.0,0.0,3.05169363105,184.087173089
-166.0,0.0,3.64891611028,221.907194524
-164.0,0.0,3.45854127574,236.416760433
-162.0,0.0,3.18564521813,290.573643676
-160.0,0.0,10.2517698057,282.707356171
-158.0,0.0,9.73033674502,300.907197136
-156.0,0.0,5.82461984134,305.306458011
-154.0,0.0,3.62302803767,341.396609254
-152.0,0.0,8.21832438517,375.486192693
-150.0,0.0,8.242308846,358.746040005
-148.0,0.0,7.82280805302,367.086823916
-146.0,0.0,5.91614227772,350.688919625
-144.0,0.0,13.3394526482,374.540776373
-142.0,0.0,5.60257103825,415.847856798
-140.0,0.0,13.3152852654,393.284309512
-138.0,0.0,12.8074115491,429.837892863
-136.0,0.0,11.4505490069,449.798132594
-134.0,0.0,12.6355526438,455.07359284
-132.0,0.0,12.6442080669,392.654821725
-130.0,0.0,15.1630010586,435.916078509
-128.0,0.0,15.6335884113,430.780356615
-126.0,0.0,18.2275330019,456.288831482
-124.0,0.0,7.36097970247,450.332750258
-122.0,0.0,15.0290416102,443.374441015
-120.0,0.0,10.510226491,437.634363933
-118.0,0.0,12.3198176775,449.683196958
-116.0,0.0,11.5670519547,467.162862653
-114.0,0.0,15.1450968399,458.69582821
-112.0,0.0,13.7802582226,414.309454718
-110.0,0.0,17.0464439993,444.843798644
-108.0,0.0,11.6145419436,379.51399834
-106.0,0.0,7.41718185663,390.606224005
-104.0,0.0,12.1178809404,398.398779382
-102.0,0.0,9.89481063843,438.83304927
-100.0,0.0,11.2213490529,414.86666068
-98.0,0.0,12.071693944,424.893949305
-96.0,0.0,13.5047182255,413.826007573
-94.0,0.0,13.9690260677,422.597633982
-92.0,0.0,15.7670772023,410.363920329
-90.0,0.0,15.4166781187,394.466051479
-88.0,0.0,10.26817591,394.899232193
-86.0,0.0,10.6346517568,419.130474901
-84.0,0.0,10.0690512648,400.024459899
-82.0,0.0,11.3195298109,397.96057245
-80.0,0.0,12.6745834947,424.219322742
-78.0,0.0,8.48308357096,429.086886066
-76.0,0.0,11.1005255113,419.855760395
-74.0,0.0,16.864649497,445.796939487
-72.0,0.0,12.1333219609,420.545668818
-70.0,0.0,16.2948278527,455.19970359
-68.0,0.0,14.5453448977,437.429412637
-66.0,0.0,12.9103236322,464.537821315
-64.0,0.0,13.3808539858,492.934101661
-62.0,0.0,12.4434316549,477.156197755
-60.0,0.0,18.2137839565,465.972782459
-58.0,0.0,8.69327473682,460.362837104
-56.0,0.0,20.1919713802,487.440092806
-54.0,0.0,10.6598517094,473.004466134
-52.0,0.0,18.8859690943,486.967275093
-50.0,0.0,13.4094815083,491.029988077
-48.0,0.0,14.6492217579,472.94409734
-46.0,0.0,15.4346721935,472.34609484
-44.0,0.0,16.0357985706,521.347683164
-42.0,0.0,13.5149970984,467.72217841
-40.0,0.0,21.273438076,488.837912897
-38.0,0.0,9.40370193458,453.943016468
-36.0,0.0,16.077622118,454.424673409
-34.0,0.0,18.304902647,491.069148106
-32.0,0.0,15.2757251425,432.889416767
-30.0,0.0,8.608722902,500.847182374
-28.0,0.0,12.8241018734,474.747357194
-26.0,0.0,16.0644292517,484.931576481
-24.0,0.0,16.0514742613,470.691524083
-22.0,0.0,8.59709722757,452.352334456
-20.0,0.0,8.12697054815,456.83484302
-18.0,0.0,9.0362757206,454.105775784
-16.0,0.0,9.89182742739,428.819893838
-14.0,0.0,12.288237793,405.873932631
-12.0,0.0,11.3609081702,394.89268903
-10.0,0.0,9.28938735342,421.046526428
-8.0,0.0,10.6018281364,403.630952077
-6.0,0.0,14.2181214223,346.586975748
-4.0,0.0,13.7346649427,369.793097077
-2.0,0.0,12.6023335686,339.521362318
0.0,0.0,5.58623611498,318.754804014
2.0,0.0,8.9702482686,354.364646252
4.0,0.0,9.40994636869,331.115473603
6.0,0.0,8.38708879566,345.589837821
8.0,0.0,6.5489740057,344.593194785
10.0,0.0,6.42054555511,361.619371728
12.0,0.0,5.92903528261,390.440428203
14.0,0.0,13.4752647028,370.508306264
16.0,0.0,6.92239019442,417.37304442
18.0,0.0,8.36316853142,403.942838647
20.0,0.0,12.6176545982,409.127889922
22.0,0.0,11.8976031446,426.770778746
24.0,0.0,13.4371313167,443.230409029
26.0,0.0,14.6612669363,452.954628688
28.0,0.0,9.75606902885,462.034401985
30.0,0.0,8.59164527798,457.65576847
32.0,0.0,8.32488025784,435.935377483
34.0,0.0,9.34250787067,465.966626925
36.0,0.0,13.8205477219,467.502727908
38.0,0.0,13.7165132875,475.830643445
40.0,0.0,8.69348821533,468.356679059
42.0,0.0,13.4204594536,486.444560384
44.0,0.0,16.8761365614,476.395098221
46.0,0.0,10.9909603481,475.240590096
48.0,0.0,12.1815336094,476.054763798
50.0,0.0,21.6704259596,463.035891081
52.0,0.0,15.3448841524,487.271023602
54.0,0.0,19.0610007191,488.619764087
56.0,0.0,14.5785099134,500.663464662
58.0,0.0,16.2519281664,473.053711548
60.0,0.0,14.3192703886,479.723754539
62.0,0.0,20.5788206053,483.182394665
64.0,0.0,12.4336511049,492.918885055
66.0,0.0,17.8981701994,463.746104635
68.0,0.0,12.1683397989,481.490676594
70.0,0.0,17.2174202423,475.535963808
72.0,0.0,11.5599950237,493.440917225
74.0,0.0,18.3583710861,505.048728428
76.0,0.0,17.4129568253,466.85370298
78.0,0.0,15.6165967951,516.086481729
80.0,0.0,13.9926755791,471.703142082
82.0,0.0,22.5496065302,507.540067003
84.0,0.0,11.5300379848,488.430812756
86.0,0.0,16.8697527981,499.492935338
88.0,0.0,13.8582323942,477.199693915
90.0,0.0,15.9719970827,502.830982501
92.0,0.0,16.0591698923,458.865962386
94.0,0.0,15.4739928818,479.942090315
96.0,0.0,18.7276899996,483.021188621
98.0,0.0,12.346200738,499.295345968
100.0,0.0,9.62749559522,454.383572285
102.0,0.0,8.87726021814,473.495429749
104.0,0.0,10.0558472662,436.557527929
106.0,0.0,10.6018496294,468.474286646
108.0,0.0,12.1228174706,468.99063622
110.0,0.0,14.1601239557,463.924466177
112.0,0.0,14.6102051697,440.111891012
114.0,0.0,13.3585292077,420.271671938
116.0,0.0,8.59093160391,413.25905205
118.0,0.0,17.2764160838,430.695430141
120.0,0.0,7.20562996554,431.51313174
122.0,0.0,8.71479541731,420.966079419
124.0,0.0,10.9817742796,423.271216527
126.0,0.0,12.4867502661,432.994012507
128.0,0.0,11.9411043663,431.559242737
130.0,0.0,12.9735396876,423.413532614
132.0,0.0,9.16303924417,435.445926874
134.0,0.0,9.81261889362,432.824204721
136.0,0.0,18.1616514492,431.61123171
138.0,0.0,15.7724888124,450.35572528
140.0,0.0,10.6479372864,412.4305277
142.0,0.0,14.4039943628,425.921738535
144.0,0.0,12.680486877,430.925912165
146.0,0.0,11.7437676544,433.568284827
148.0,0.0,15.121052434,418.627558163
150.0,0.0,7.4639048996,456.010949889
152.0,0.0,17.5442900705,432.167512866
154.0,0.0,19.010320446,409.855699867
156.0,0.0,12.0438254967,455.900196795
158.0,0.0,15.7708518057,462.750076529
160.0,0.0,15.1338443947,426.199109912
162.0,0.0,13.590847024,456.480609576
164.0,0.0,12.3191163082,426.829768293
166.0,0.0,14.9077444825,438.160279199
168.0,0.0,8.33424049425,435.030655628
170.0,0.0,7.24975931168,452.606610787
172.0,0.0,16.9093407536,419.437152257
174.0,0.0,7.4681787529,398.280776978
176.0,0.0,8.14959409714,393.733274821
178.0,0.0,9.58201227331,352.385207811
180.0,0.0,8.40347751188,349.971465243
