% Mast Angle, Arm Angle, Background RSSI, Transmission RSSI
-180.0,0.0,0.27317831482,8.00833932418
-178.0,0.0,0.329606801301,7.0727004303
-176.0,0.0,0.376679499432,5.8765505895
-174.0,0.0,0.313050603211,4.28894500121
-172.0,0.0,0.31885538508,3.03417838705
-170.0,0.0,0.286426466286,1.61779222018
-168.0,0.0,0.267873478889,2.30130765003
-166.0,0.0,0.280752872869,3.04359225804
-164.0,0.0,0.281358671367,4.64767103252
-162.0,0.0,0.288135909468,6.82038076788
-160.0,0.0,0.356832076296,7.23447081202
-158.0,0.0,0.366155363366,8.16278639793
-156.0,0.0,0.39612630026,7.98366999584
-154.0,0.0,0.337440349072,9.03901813108
-152.0,0.0,0.392184539869,9.15079186296
-150.0,0.0,0.391646942616,9.05407714424
-148.0,0.0,0.398185877979,9.25537577277
-146.0,0.0,0.403990316108,9.46345939374
-144.0,0.0,0.40756454955,9.26210451353
-142.0,0.0,0.466020713121,9.70448267555
-140.0,0.0,0.455898309439,10.4448875303
-138.0,0.0,0.42091285491,9.82895379338
-136.0,0.0,0.397217668191,10.580996265
-134.0,0.0,0.445335914627,10.2926112329
-132.0,0.0,0.418551349908,10.7368224516
-130.0,0.0,0.430619059026,10.5355474311
-128.0,0.0,0.441666634381,10.9046383958
-126.0,0.0,0.393961904645,10.0391757683
-124.0,0.0,0.358572972566,10.2828275454
-122.0,0.0,0.300827607945,11.0301220645
-120.0,0.0,0.384372171402,10.696344925
-118.0,0.0,0.438269186109,10.8457775485
-116.0,0.0,0.426401174322,10.9363450758
-114.0,0.0,0.436512895048,10.4298339701
-112.0,0.0,0.471494807884,10.9049333627
-110.0,0.0,0.457384294137,11.1137895128
-108.0,0.0,0.435313482657,11.2208495854
-106.0,0.0,0.441567163691,10.6614920675
-104.0,0.0,0.442618589342,10.9557528133
-102.0,0.0,0.450803500146,10.8878564578
-100.0,0.0,0.462183827445,10.9586618719
-98.0,0.0,0.431098939866,10.6620046433
-96.0,0.0,0.425242484376,10.3702181235
-94.0,0.0,0.456191587061,10.8465550951
-92.0,0.0,0.447685163438,10.5675758625
-90.0,0.0,0.351923110321,10.4053080694
-88.0,0.0,0.351672504097,10.0362522172
-86.0,0.0,0.434696725279,9.91981898201
-84.0,0.0,0.457321187109,10.3686525714
-82.0,0.0,0.422109362006,9.89525443232
-80.0,0.0,0.415006259695,9.82450312763
-78.0,0.0,0.400301803097,9.95496296144
-76.0,0.0,0.422833147168,10.0291475202
-74.0,0.0,0.367777707011,10.4280048109
-72.0,0.0,0.353326906979,10.6354043486
-70.0,0.0,0.465332897007,11.1369310353
-68.0,0.0,0.373877498657,10.9118983005
-66.0,0.0,0.453859827563,11.2786660075
-64.0,0.0,0.420219466001,11.1352759944
-62.0,0.0,0.477287115097,11.5838076452
-60.0,0.0,0.442841530442,11.8950002651
-58.0,0.0,0.415126446068,11.833140537
-56.0,0.0,0.444383471519,11.2528555746
-54.0,0.0,0.401101179361,12.105818847
-52.0,0.0,0.383130847365,12.7901960442
-50.0,0.0,0.546267998427,12.4819616829
-48.0,0.0,0.439329089105,12.096876218
-46.0,0.0,0.506120239735,12.7942987139
-44.0,0.0,0.503331565827,12.8249110249
-42.0,0.0,0.516290595591,12.7508963732
-40.0,0.0,0.475797762096,13.0526591693
-38.0,0.0,0.479525192618,12.2986627466
-36.0,0.0,0.503280442506,13.0317005233
-34.0,0.0,0.402845275402,11.7273171539
-32.0,0.0,0.394529535443,11.8931290777
-30.0,0.0,0.420225860476,12.6861344162
-28.0,0.0,0.444175560743,11.586241832
-26.0,0.0,0.478613529772,12.2370907206
-24.0,0.0,0.474007277936,12.0297598382
-22.0,0.0,0.497630332917,11.7674646222
-20.0,0.0,0.455844090462,11.6818392132
-18.0,0.0,0.425142238885,11.7675614223
-16.0,0.0,0.411551843196,11.8934989448
-14.0,0.0,0.398550578803,10.9177287229
-12.0,0.0,0.525148670882,11.4367450109
-10.0,0.0,0.450818885833,10.6726595185
-8.0,0.0,0.560525657356,10.7813883149
-6.0,0.0,0.418834307268,9.72596792185
-4.0,0.0,0.42963198714,9.76783577347
-2.0,0.0,0.402664080158,10.0605100039
0.0,0.0,0.416294424534,9.35631768966
2.0,0.0,0.396556900159,9.30346703207
4.0,0.0,0.309907920867,8.73586819422
6.0,0.0,0.342011601076,8.42897598171
8.0,0.0,0.421766210109,8.60180555028
10.0,0.0,0.372284290314,8.5672536189
12.0,0.0,0.413840370119,8.72820552176
14.0,0.0,0.380331684917,8.78523684275
16.0,0.0,0.410065857023,8.75119913673
18.0,0.0,0.404101847291,9.54872650379
20.0,0.0,0.349673136204,9.48389973161
22.0,0.0,0.333261699826,9.73376097894
24.0,0.0,0.456031817123,9.57075860828
26.0,0.0,0.379606354445,10.8014407308
28.0,0.0,0.451435338154,10.3503090714
30.0,0.0,0.480275078088,10.7861614189
32.0,0.0,0.41566926226,9.86674716347
34.0,0.0,0.459257392615,10.326176424
36.0,0.0,0.415261750698,11.0363696812
38.0,0.0,0.498121299624,11.7771740412
40.0,0.0,0.396904511005,10.6540259944
42.0,0.0,0.507194187641,11.4503172628
44.0,0.0,0.526699241042,11.098305422
46.0,0.0,0.436713156223,10.6178914183
48.0,0.0,0.488147522271,11.8580298651
50.0,0.0,0.472874187708,12.0314307365
52.0,0.0,0.49457481572,11.574569554
54.0,0.0,0.467160808951,12.4912108728
56.0,0.0,0.510882521302,12.6627401369
58.0,0.0,0.53866477102,12.2719280436
60.0,0.0,0.373779256076,11.9914312602
62.0,0.0,0.413854482442,12.2879942982
64.0,0.0,0.533264292538,12.619257542
66.0,0.0,0.555046716243,12.4077302932
68.0,0.0,0.531422124386,12.3306397446
70.0,0.0,0.550398099571,11.1379931963
72.0,0.0,0.583446615189,12.9488199514
74.0,0.0,0.518882590979,12.0686524109
