% Mast Angle, Arm Angle, Background RSSI, Transmission RSSI
-180.0,-180.0,0.316917180508,4.9091646744
-180.0,-162.0,0.359693981022,4.91149733278
-180.0,-144.0,0.355180475548,7.64119242212
-180.0,-126.0,0.410809645891,6.69155362159
-180.0,-108.0,0.404604914039,6.21498804003
-180.0,-90.0,0.366717735499,6.91380081639
-180.0,-72.0,0.326669183284,5.6340990473
-180.0,-54.0,0.321383573979,5.73995131916
-180.0,-36.0,0.336271341205,6.27074101254
-180.0,-18.0,0.40851818648,4.52746758363
-180.0,0.0,0.397880557477,5.77557634604
-180.0,18.0,0.369455045015,5.05855273759
-180.0,36.0,0.367153401464,6.23866426164
-180.0,54.0,0.387748135209,6.26636922786
-180.0,72.0,0.344879621983,5.63076642531
-180.0,90.0,0.323023203254,6.39667295039
-180.0,108.0,0.331002954751,5.43410748512
-180.0,126.0,0.32375951606,6.18894266117
-180.0,144.0,0.479833163083,6.64982071519
-180.0,162.0,0.426669889122,6.80498200518
-180.0,180.0,0.341536293179,6.46527312955
-162.0,-180.0,0.316312679797,9.63254713985
-162.0,-162.0,0.454479645476,9.15786513251
-162.0,-144.0,0.303323739827,13.1839519466
-162.0,-126.0,0.4865712661,15.0514785678
-162.0,-108.0,0.295248401061,16.9706240879
-162.0,-90.0,0.537228182018,14.6199043761
-162.0,-72.0,0.376054076687,13.4401200441
-162.0,-54.0,0.4069892876,14.5036022511
-162.0,-36.0,0.435702617288,10.6639459434
-162.0,-18.0,0.480926297158,10.7744501618
-162.0,0.0,0.479895643204,9.90827487487
-162.0,18.0,0.512032169938,11.8494129345
-162.0,36.0,0.325317444086,10.6624011396
-162.0,54.0,0.312402874559,10.8811313903
-162.0,72.0,0.362189140379,11.2019672968
-162.0,90.0,0.395522457719,11.7998042259
-162.0,108.0,0.480684831828,10.9634987407
-162.0,126.0,0.375820533752,10.7877047618
-162.0,144.0,0.405043705001,11.0247171782
-162.0,162.0,0.530469648466,10.6915164757
-162.0,180.0,0.577341828167,9.42181856519
-144.0,-180.0,0.376226864338,5.79365681553
-144.0,-162.0,0.399908950061,8.48107066208
-144.0,-144.0,0.303636216894,16.6523475977
-144.0,-126.0,0.553466617927,17.9875610009
-144.0,-108.0,0.608564453751,22.3330882581
-144.0,-90.0,0.636405548349,21.6008042362
-144.0,-72.0,0.54325597401,16.1709550423
-144.0,-54.0,0.520594243824,15.3987553591
-144.0,-36.0,0.558474976137,13.0399520433
-144.0,-18.0,0.50930770947,10.8720711997
-144.0,0.0,0.357785848275,13.019539796
-144.0,18.0,0.473444575474,11.6193801367
-144.0,36.0,0.446640455693,10.9909252424
-144.0,54.0,0.503214648619,8.60786299008
-144.0,72.0,0.340850895643,8.93573190871
-144.0,90.0,0.518836909711,9.77852283603
-144.0,108.0,0.517927672952,9.65957418227
-144.0,126.0,0.320756423414,10.2493308586
-144.0,144.0,0.426065979987,10.0211211967
-144.0,162.0,0.361451103032,8.75861649859
-144.0,180.0,0.426279069394,9.44427254671
-126.0,-180.0,0.486406853437,11.1784710699
-126.0,-162.0,0.533278803304,6.07304055113
-126.0,-144.0,0.369783095732,16.3292240472
